DBN,School,Grade,Year,Category,Number,avg_score
24Q005,I.S. 5 - The Walter Crowley Intermediate School,All Grades,2013,All Students,1473,304
24Q005,I.S. 5 - The Walter Crowley Intermediate School,All Grades,2014,All Students,1560,305
24Q005,I.S. 5 - The Walter Crowley Intermediate School,All Grades,2015,All Students,1694,309
24Q005,I.S. 5 - The Walter Crowley Intermediate School,All Grades,2016,All Students,1748,311
24Q005,I.S. 5 - The Walter Crowley Intermediate School,All Grades,2017,All Students,1748,316
24Q005,I.S. 5 - The Walter Crowley Intermediate School,All Grades,2018,All Students,1718,608
24Q007,P.S. 007 Louis F. Simeone,All Grades,2013,All Students,304,307
24Q007,P.S. 007 Louis F. Simeone,All Grades,2014,All Students,289,305
24Q007,P.S. 007 Louis F. Simeone,All Grades,2015,All Students,251,303
24Q007,P.S. 007 Louis F. Simeone,All Grades,2016,All Students,249,311
24Q007,P.S. 007 Louis F. Simeone,All Grades,2017,All Students,236,309
24Q007,P.S. 007 Louis F. Simeone,All Grades,2018,All Students,218,603
24Q012,P.S. 012 James B. Colgate,All Grades,2013,All Students,624,311
24Q012,P.S. 012 James B. Colgate,All Grades,2014,All Students,638,311
24Q012,P.S. 012 James B. Colgate,All Grades,2015,All Students,622,311
24Q012,P.S. 012 James B. Colgate,All Grades,2016,All Students,633,318
24Q012,P.S. 012 James B. Colgate,All Grades,2017,All Students,594,315
24Q012,P.S. 012 James B. Colgate,All Grades,2018,All Students,584,606
24Q013,P.S. 013 Clement C. Moore,All Grades,2013,All Students,664,307
24Q013,P.S. 013 Clement C. Moore,All Grades,2014,All Students,720,304
24Q013,P.S. 013 Clement C. Moore,All Grades,2015,All Students,746,304
24Q013,P.S. 013 Clement C. Moore,All Grades,2016,All Students,752,306
24Q013,P.S. 013 Clement C. Moore,All Grades,2017,All Students,758,305
24Q013,P.S. 013 Clement C. Moore,All Grades,2018,All Students,789,600
24Q014,P.S. 014 Fairview,All Grades,2013,All Students,844,293
24Q014,P.S. 014 Fairview,All Grades,2014,All Students,862,294
24Q014,P.S. 014 Fairview,All Grades,2015,All Students,851,288
24Q014,P.S. 014 Fairview,All Grades,2016,All Students,893,295
24Q014,P.S. 014 Fairview,All Grades,2017,All Students,931,291
24Q014,P.S. 014 Fairview,All Grades,2018,All Students,883,593
24Q016,P.S. Q016 The Nancy DeBenedittis School,All Grades,2013,All Students,928,299
24Q016,P.S. Q016 The Nancy DeBenedittis School,All Grades,2014,All Students,952,297
24Q016,P.S. Q016 The Nancy DeBenedittis School,All Grades,2015,All Students,995,295
24Q016,P.S. Q016 The Nancy DeBenedittis School,All Grades,2016,All Students,986,298
24Q016,P.S. Q016 The Nancy DeBenedittis School,All Grades,2017,All Students,968,293
24Q016,P.S. Q016 The Nancy DeBenedittis School,All Grades,2018,All Students,919,593
24Q019,P.S. 019 Marino Jeantet,All Grades,2013,All Students,961,294
24Q019,P.S. 019 Marino Jeantet,All Grades,2014,All Students,880,294
24Q019,P.S. 019 Marino Jeantet,All Grades,2015,All Students,874,296
24Q019,P.S. 019 Marino Jeantet,All Grades,2016,All Students,890,302
24Q019,P.S. 019 Marino Jeantet,All Grades,2017,All Students,907,297
24Q019,P.S. 019 Marino Jeantet,All Grades,2018,All Students,933,595
24Q049,P.S. 049 Dorothy Bonawit Kole,All Grades,2013,All Students,704,314
24Q049,P.S. 049 Dorothy Bonawit Kole,All Grades,2014,All Students,729,315
24Q049,P.S. 049 Dorothy Bonawit Kole,All Grades,2015,All Students,759,315
24Q049,P.S. 049 Dorothy Bonawit Kole,All Grades,2016,All Students,748,319
24Q049,P.S. 049 Dorothy Bonawit Kole,All Grades,2017,All Students,756,321
24Q049,P.S. 049 Dorothy Bonawit Kole,All Grades,2018,All Students,717,609
24Q058,P.S. 58 - The School of Heroes,All Grades,2013,All Students,573,306
24Q058,P.S. 58 - The School of Heroes,All Grades,2014,All Students,561,310
24Q058,P.S. 58 - The School of Heroes,All Grades,2015,All Students,521,314
24Q058,P.S. 58 - The School of Heroes,All Grades,2016,All Students,527,315
24Q058,P.S. 58 - The School of Heroes,All Grades,2017,All Students,527,313
24Q058,P.S. 58 - The School of Heroes,All Grades,2018,All Students,527,607
24Q061,I.S. 061 Leonardo Da Vinci,All Grades,2013,All Students,2261,284
24Q061,I.S. 061 Leonardo Da Vinci,All Grades,2014,All Students,2288,287
24Q061,I.S. 061 Leonardo Da Vinci,All Grades,2015,All Students,2138,289
24Q061,I.S. 061 Leonardo Da Vinci,All Grades,2016,All Students,2053,294
24Q061,I.S. 061 Leonardo Da Vinci,All Grades,2017,All Students,2041,298
24Q061,I.S. 061 Leonardo Da Vinci,All Grades,2018,All Students,2124,596
24Q068,P.S. 068 Cambridge,All Grades,2013,All Students,355,296
24Q068,P.S. 068 Cambridge,All Grades,2014,All Students,331,289
24Q068,P.S. 068 Cambridge,All Grades,2015,All Students,314,295
24Q068,P.S. 068 Cambridge,All Grades,2016,All Students,331,305
24Q068,P.S. 068 Cambridge,All Grades,2017,All Students,337,300
24Q068,P.S. 068 Cambridge,All Grades,2018,All Students,299,601
24Q071,P.S. 071 Forest,All Grades,2013,All Students,464,301
24Q071,P.S. 071 Forest,All Grades,2014,All Students,432,300
24Q071,P.S. 071 Forest,All Grades,2015,All Students,407,300
24Q071,P.S. 071 Forest,All Grades,2016,All Students,388,308
24Q071,P.S. 071 Forest,All Grades,2017,All Students,387,305
24Q071,P.S. 071 Forest,All Grades,2018,All Students,339,598
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,All Grades,2013,All Students,1548,297
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,All Grades,2014,All Students,1658,301
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,All Grades,2015,All Students,1838,303
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,All Grades,2016,All Students,1915,309
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,All Grades,2017,All Students,1977,312
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,All Grades,2018,All Students,1911,606
24Q077,I.S. 077,All Grades,2013,All Students,1029,288
24Q077,I.S. 077,All Grades,2014,All Students,1022,287
24Q077,I.S. 077,All Grades,2015,All Students,999,287
24Q077,I.S. 077,All Grades,2016,All Students,927,291
24Q077,I.S. 077,All Grades,2017,All Students,935,295
24Q077,I.S. 077,All Grades,2018,All Students,924,596
24Q081,P.S. 81Q Jean Paul Richter,All Grades,2013,All Students,521,292
24Q081,P.S. 81Q Jean Paul Richter,All Grades,2014,All Students,522,291
24Q081,P.S. 81Q Jean Paul Richter,All Grades,2015,All Students,483,296
24Q081,P.S. 81Q Jean Paul Richter,All Grades,2016,All Students,424,304
24Q081,P.S. 81Q Jean Paul Richter,All Grades,2017,All Students,341,304
24Q081,P.S. 81Q Jean Paul Richter,All Grades,2018,All Students,312,599
24Q087,P.S./I.S. 087 Middle Village,All Grades,2013,All Students,380,301
24Q087,P.S./I.S. 087 Middle Village,All Grades,2014,All Students,367,302
24Q087,P.S./I.S. 087 Middle Village,All Grades,2015,All Students,319,304
24Q087,P.S./I.S. 087 Middle Village,All Grades,2016,All Students,313,311
24Q087,P.S./I.S. 087 Middle Village,All Grades,2017,All Students,307,312
24Q087,P.S./I.S. 087 Middle Village,All Grades,2018,All Students,313,603
24Q088,P.S. 088 Seneca,All Grades,2013,All Students,470,296
24Q088,P.S. 088 Seneca,All Grades,2014,All Students,456,299
24Q088,P.S. 088 Seneca,All Grades,2015,All Students,479,299
24Q088,P.S. 088 Seneca,All Grades,2016,All Students,477,304
24Q088,P.S. 088 Seneca,All Grades,2017,All Students,468,301
24Q088,P.S. 088 Seneca,All Grades,2018,All Students,450,596
24Q089,P.S. 089 Elmhurst,All Grades,2013,All Students,942,299
24Q089,P.S. 089 Elmhurst,All Grades,2014,All Students,954,301
24Q089,P.S. 089 Elmhurst,All Grades,2015,All Students,949,307
24Q089,P.S. 089 Elmhurst,All Grades,2016,All Students,980,309
24Q089,P.S. 089 Elmhurst,All Grades,2017,All Students,996,308
24Q089,P.S. 089 Elmhurst,All Grades,2018,All Students,989,601
24Q091,P.S. 091 Richard Arkwright,All Grades,2013,All Students,393,298
24Q091,P.S. 091 Richard Arkwright,All Grades,2014,All Students,371,301
24Q091,P.S. 091 Richard Arkwright,All Grades,2015,All Students,358,300
24Q091,P.S. 091 Richard Arkwright,All Grades,2016,All Students,322,307
24Q091,P.S. 091 Richard Arkwright,All Grades,2017,All Students,323,300
24Q091,P.S. 091 Richard Arkwright,All Grades,2018,All Students,308,599
24Q093,I.S. 093 Ridgewood,All Grades,2013,All Students,1176,293
24Q093,I.S. 093 Ridgewood,All Grades,2014,All Students,1108,296
24Q093,I.S. 093 Ridgewood,All Grades,2015,All Students,1097,297
