city,pop,smoking,drinking,own,lease,rent,public,alone,unemp,grdp,stress,marriage,tfr,suicide_rate
Dangjin-si,167770,21.1,62.6,62.8,10.1,18.6,8.5,32.1,1.8,8812,28.7,6.4,1.65,45.6
Sejong-si,314126,17.5,56.6,53.5,16.4,25.4,4.7,30,2.3,7660,30.1,6.9,1.566,26
Seosan-si,174162,25.8,62.3,64.7,8.4,19.5,7.5,29.2,2.1,10116,26.1,5.8,1.467,36.6
Gimcheon-si,141104,22.6,56.1,73.5,5.9,16,4.6,31.6,2,3535,26.2,4.2,1.414,22
Naju-si,113839,19.4,60.8,73.5,8.9,11.5,6.1,35.9,2.1,2665,24,5.3,1.36,41.4
Namwon-si,82554,20.1,56.3,74.2,5.3,16.6,4,32.7,2.9,1206,19.4,3.2,1.337,30.3
Gwangyang-si,156564,19.8,63.4,60.2,18.3,18.3,3.2,26.5,3.2,8787,23,4.8,1.333,23.1
Yangsan-si,348639,22.5,60.3,61.7,9.9,26,2.4,26.7,4,7905,22.8,5.7,1.331,33.6
Hwaseong-si,758722,19.6,62.9,53.4,18,22.2,6.3,26,3.7,40355,26.4,6.8,1.309,20.8
Asan-si,312822,21.9,65.1,58.7,14.3,22.6,4.4,30.3,2.7,27816,25.5,5.8,1.268,30.6
Geoje-si,250516,21.2,66.1,63.5,6.9,21.9,7.8,27.7,3,7612,20.3,5.1,1.255,30.7
Sangju-si,100297,22.1,61.4,82.5,2.8,10.7,4,34.1,2.5,1686,14.3,3.4,1.241,44.1
Jeju-do,667191,21.8,60.1,58.3,3.3,29.1,9.3,29.4,1.6,12697,27.3,5.5,1.22,30.6
Yeongju-si,106801,19.8,60,76,3.5,17.2,3.3,32,2.6,2243,26.2,3.6,1.214,25.3
Andong-si,162180,23.1,58.6,70.3,5.7,20.4,3.5,34.1,2.1,3359,29.2,3.7,1.201,29.4
Taebaek-si,44858,23.4,66.5,64.8,4.6,17.8,12.9,32.6,0.6,802,26.5,3.6,1.193,45.1
Yeosu-si,283300,22.4,63.2,64.4,9.2,20.2,6.3,28.6,2,19165,25,4.4,1.192,25.4
Samcheok-si,68326,23.3,63,64.4,4.1,24,7.5,37.1,3.3,1894,28.7,4.4,1.191,28
Gyeryong-si,43731,18.7,59.4,51.9,19.5,13.2,15.4,19.9,2.2,618,24.8,2.8,1.19,32.1
Jecheon-si,135386,24.4,62.3,66.4,5.7,24.2,3.6,32.5,2.4,2347,24.5,4.3,1.188,36.3
Gyeongsan-si,261093,22.5,58.3,55.7,9.3,32.1,2.9,32.8,3.9,5477,28.5,5,1.182,29.8
Yeongcheon-si,101595,27.1,58.8,77.1,4,15.5,3.4,34.7,1.6,2300,27.7,3.9,1.18,38.9
Nonsan-si,120230,23.4,55.8,71.8,5.1,17,6.2,32.8,2.1,2563,26,4.1,1.179,35
Cheongju-si,837749,22,61.8,61.1,13.6,21.7,3.5,30.1,3.6,23295,28.5,5.3,1.163,28.5
Pyeongtaek-si,495642,22.9,61.3,53.6,15.4,24.2,6.8,29.8,2.3,18264,28.9,6,1.144,31.7
Jeongeup-si,112169,18.9,51.9,77.8,4.1,14.5,3.6,32.9,1.8,1947,24,3.3,1.143,37.5
Siheung-si,448687,20.8,58.6,52.8,15.1,28.5,3.6,26.8,3.2,8958,23.6,6,1.14,27.4
Sacheon-si,113888,20.1,59.9,68.6,6.5,19.3,5.6,31.6,2.9,2969,15.8,4.6,1.135,28.3
Ulsan,1155623,20.2,62.6,62.7,9.2,23.9,4.2,25.6,3.6,58675,25.2,5.1,1.131,27.1
Osan-si,220070,23,62.8,44.5,14.9,37,3.6,29.3,3.6,4161,31,6.2,1.13,23.2
Gwangju-si,363782,25.2,67.6,59.5,19.9,15.8,4.8,22.6,2.4,5715,19.5,6.3,1.127,26.7
Yeoju-si,111525,22.5,63.2,71,11,12,6,28.4,2.5,2256,32.4,4.4,1.118,30.6
Pohang-si,510013,23,59.3,68.4,7.6,19.2,4.8,28.2,2.6,13239,23.7,4.5,1.117,23.4
Paju-si,451848,24.9,60.9,51.4,16.9,27.1,4.6,23.8,3.5,11673,31.6,5.3,1.112,22.7
Gumi-si,421494,24.6,63.1,57.4,9.7,27.4,5.4,30.4,5.2,23153,25.8,5.5,1.11,29.6
Suncheon-si,279389,21.1,59.2,68.7,12.5,16.4,2.4,27.3,2.8,4244,25.3,4.6,1.108,23.7
Icheon-si,214206,22.9,55.7,62.6,13.7,16,7.7,26.4,2.1,9239,28.5,5,1.106,25.9
Cheonan-si,646075,26.5,66.8,55.7,14,26,4.3,32.6,3.2,19749,28.6,6.4,1.105,31.7
Jinju-si,345987,16.1,65.7,63.4,9.5,24,3.2,30.5,3.4,5208,25.1,4.3,1.097,26.1
Donghae-si,91272,23.9,59.8,58.9,6.2,25.6,9.3,28.8,3.6,2180,22.4,4.1,1.096,31.8
Gimpo-si,423170,19.7,57.1,52.2,18.4,24.9,4.5,21.5,3.9,6610,29.5,5.1,1.094,24.7
