year,trifd,frsid,facility,address,city,county,state,zip,lat,long,transfer,release
2018,11520GRNFL94DOX,1.10009E+11,GREENFIELD INDUSTRIES INC,99 DOXSEE DR,FREEPORT,NASSAU,NY,11520,40.64621,-73.56851,0,0
2018,1216WCLLNN1SUTH,1.10001E+11,CALLANAN INDUSTRIES INC SOUTH BETHLEHEM FACILITY,105 PETER CALLANAN DR,SOUTH BETHLEHEM,ALBANY,NY,12161,42.523187,-73.851342,0,0.0004
2018,12533MGNCRHUDSN,1.10006E+11,EMAGIN CORP,700 SOUTH DR - SUITE 201,HOPEWELL JUNCTION,DUTCHESS,NY,12533,41.54464,-73.82896,21566,2600
2018,13088GLCMT7665H,1.10001E+11,EAGLE COMTRONICS INC,7665 HENRY CLAY BLVD,LIVERPOOL,ONONDAGA,NY,13088,43.14019,-76.18747,561,0
2018,14456HBFLL61GAT,1.10001E+11,UNIVAR SOLUTIONS USA INC - GENEVA BRANCH,61 GATES AVE,GENEVA,ONTARIO,NY,14456,42.881193,-76.981699,0,53
2018,13209CRCBLSTATE,1.1E+11,CRUCIBLE INDUSTRIES LLC,575 STATE FAIR BLVD,SOLVAY,ONONDAGA,NY,13209,43.085298,-76.223335,18245,202
2018,14218BTHLHBARRO,1.10001E+11,REPUBLIC STEEL -  LACKAWANNA,S3049 LAKE SHORE RD,BLASDELL,ERIE,NY,14219,42.80243,-78.84638,2,17
2018,12158GNRLLNORYL,1.1E+11,SABIC INNOVATIVE PLASTICS US LLC,1 NORYL AVE,SELKIRK,ALBANY,NY,12158,42.575416,-73.853563,973,333.7
2018,14001WHTNG113CE,1.1E+11,WHITING DOOR MANUFACTURING CORP,113 CEDAR ST,AKRON,ERIE,NY,14001,43.02812,-78.50094,21410,48.13
2018,1155WCRBND1BAYB,1.1001E+11,SPRAGUE LAWRENCE TERMINAL,1 BAY BLVD,LAWRENCE,NASSAU,NY,11559,40.62806,-73.73837,0,22.69
2018,12138TCNCPCOONB,1.10002E+11,TONOGA INC DBA TACONIC,136 COON BROOK RD,PETERSBURGH,RENSSELAER,NY,12138,42.74245,-73.35747,12626,13069
2018,14564RDCMX1REDC,1.10019E+11,REDCOM LABORATORIES INC,1 REDCOM CENTER,VICTOR,ONTARIO,NY,14564,43.00875,-77.44704,95,0
2018,12090LYDLL12DAV,1.10002E+11,LYDALL PERFORMANCE MATERIALS (US) INC,12 DAVIS ST,HOOSICK FALLS,RENSSELAER,NY,12090,42.910222,-73.357972,0,6986.6
2018,10454CSTLL939E1,1.10013E+11,SPRAGUE BRONX TERMINAL,939 E 138TH ST,BRONX,BRONX,NY,10454,40.80155,-73.90631,0,459.24
2018,1031WSCFRR333CH,1.1007E+11,USC - FERRARA BROTHERS LLC - CHELSEA ROAD,333 CHELSEA RD,STATEN ISLAND,RICHMOND,NY,10314,40.61051,-74.18866,0,0
2018,13424RSKNY9DRYR,1.1007E+11,ORISKANY,191 DRY RD,ORISKANY,ONEIDA,NY,13424,43.15842,-75.38844,0,0.05
2018,14094GNRLM200UP,1.1E+11,GM COMPONENTS HOLDINGS LLC,200 UPPER MOUNTAIN RD MANUFACTURING PLANT,LOCKPORT,NIAGARA,NY,14094,43.165966,-78.740509,84.78,100.94
2018,1305WSPTCL6848E,1.10004E+11,US OPTICAL LLC,6848 ELLICOTT DR,EAST SYRACUSE,ONONDAGA,NY,13057,43.100707,-76.090743,0,0
2018,14227TTSTN175ST,1.1E+11,XYLEM INC (FLUID HANDLING LLC),175 STANDARD PKWY,CHEEKTOWAGA,ERIE,NY,14227,42.88946,-78.77235,23992.38,58.52
2018,12866QDGRP56DUP,1.1E+11,QUAD/GRAPHICS INC,56 DUPLAINVILLE RD,SARATOGA SPRINGS,SARATOGA,NY,12866,43.065001,-73.828801,250,9698
2018,13619SLCKC465SC,1.1E+11,SLACK CHEMICAL CO INC,465 S. CLINTON ST.,CARTHAGE,JEFFERSON,NY,13619,43.977222,-75.598056,0,161
2018,11590ZMNCX717MA,1.10001E+11,AERO STRUCTURES LONG ISLAND INC,717 MAIN ST,WESTBURY,NASSAU,NY,11590,40.75746,-73.55607,475,0
2018,12345GNRLL1RIVE,1.10001E+11,GE CO,1 RIVER RD BLDG 273-1029,SCHENECTADY,SCHENECTADY,NY,12345,42.810809,-73.962246,14160,545
2018,11901TSCCR212SO,1.1E+11,UNITED RIVERHEAD TERMINAL INC,212 SOUND SHORE RD,RIVERHEAD,SUFFOLK,NY,11901,40.978917,-72.643111,23,4152
2018,12158GNRLLNORYL,1.1E+11,SABIC INNOVATIVE PLASTICS US LLC,1 NORYL AVE,SELKIRK,ALBANY,NY,12158,42.575416,-73.853563,134997.4,9522
2018,13209CRCBLSTATE,1.1E+11,CRUCIBLE INDUSTRIES LLC,575 STATE FAIR BLVD,SOLVAY,ONONDAGA,NY,13209,43.085298,-76.223335,677,108
2018,12801FNCHP1GLEN,1.1E+11,FINCH PAPER LLC,1 GLEN ST,GLENS FALLS,WARREN,NY,12801,43.308507,-73.634808,0.2625,0.4738
2018,13827HDCCRBODLE,1.1E+11,HADCO (SANMINA) CORP - OWEGO DIV,1200 TAYLOR RD,OWEGO,TIOGA,NY,13827,42.102778,-76.227111,4573.1,320.2
2018,14006FLXVT1305E,1.1E+11,FLEXOVIT USA INC,1305 EDEN EVANS CENTER RD,ANGOLA,ERIE,NY,14006,42.652498,-79.010168,0,0
2018,11901TSCCR212SO,1.1E+11,UNITED RIVERHEAD TERMINAL INC,212 SOUND SHORE RD,RIVERHEAD,SUFFOLK,NY,11901,40.978917,-72.643111,5.4,767.5
2018,14760GRFFT1650E,1.1E+11,GRIFFITH ENERGY - OLEAN,1637 E STATE ST,OLEAN,CATTARAUGUS,NY,14760,42.07114,-78.395687,0,0
2018,13827HDCCRBODLE,1.1E+11,HADCO (SANMINA) CORP - OWEGO DIV,1200 TAYLOR RD,OWEGO,TIOGA,NY,13827,42.102778,-76.227111,57115,0
2018,1290WCMSMN1MART,1.10071E+11,CAMSO MANUFACTURING USA LTD,1 MARTINA CIR,PLATTSBURGH,CLINTON,NY,12901,44.68991,-73.51306,0,0
2018,1402WHPHDL514AG,1.10071E+11,HP HOOD LLC BATAVIA,5140 AGPARK DRIVE WEST,BATAVIA,GENESEE,NY,14020,42.983588,-78.14631,0,0
2018,14821PLLDR8600M,1.1E+11,UPSTATE FARMS CHEESE LLC,8600 MAIN ST,CAMPBELL,STEUBEN,NY,14821,42.228091,-77.187066,0,0
2018,11901TSCCR212SO,1.1E+11,UNITED RIVERHEAD TERMINAL INC,212 SOUND SHORE RD,RIVERHEAD,SUFFOLK,NY,11901,40.978917,-72.643111,0.69,180.19
2018,14304THGDY5408B,1.10019E+11,GOODYEAR TIRE & RUBBER CO,5500 GOODYEAR DR,NIAGARA FALLS,NIAGARA,NY,14304,43.08571,-79.00174,26246,7157
2018,12801FNCHP1GLEN,1.1E+11,FINCH PAPER LLC,1 GLEN ST,GLENS FALLS,WARREN,NY,12801,43.308507,-73.634808,79.5,328.7
2018,14207DPNTYSHERI,1.10008E+11,DUPONT YERKES PLANT,3115 RIVER RD,BUFFALO,ERIE,NY,14207,42.96227,-78.91914,0,11714
2018,13601KNWLT213FA,1.1E+11,KNOWLTON TECHNOLOGIES LLC,213 FACTORY ST,WATERTOWN,JEFFERSON,NY,13601,43.97535,-75.90653,75,47
2018,14207DPNTYSHERI,1.10008E+11,DUPONT YERKES PLANT,3115 RIVER RD,BUFFALO,ERIE,NY,14207,42.96227,-78.91914,1720.2,78.41
2018,11768NRTHPWATER,1.10001E+11,NATIONAL GRID  NORTHPORT POWER STATION,WATERSIDE AVE & EATONS NECK RD,NORTHPORT,SUFFOLK,NY,11768,40.923488,-73.342561,0,0.1971
2018,13316CMDNW12MAS,1.10042E+11,OMEGA WIRE INC- PLANT 1,12 MASONIC AVE,CAMDEN,ONEIDA,NY,13316,43.336379,-75.75236,77.86,0.21
2018,14227TTSTN175ST,1.1E+11,XYLEM INC (FLUID HANDLING LLC),175 STANDARD PKWY,CHEEKTOWAGA,ERIE,NY,14227,42.88946,-78.77235,600.26,3.11
2018,1135WSKGGS11922,1.10062E+11,SKAGGS-WALSH,119-02 23RD AVE,COLLEGE POINT,QUEENS,NY,11356,40.7786,-73.84812,175,10
2018,14218BTHLHBARRO,1.10001E+11,REPUBLIC STEEL -  LACKAWANNA,S3049 LAKE SHORE RD,BLASDELL,ERIE,NY,14219,42.80243,-78.84638,13.1,38.7
2018,13209CRCBLSTATE,1.1E+11,CRUCIBLE INDUSTRIES LLC,575 STATE FAIR BLVD,SOLVAY,ONONDAGA,NY,13209,43.085298,-76.223335,5116,501
2018,12801FNCHP1GLEN,1.1E+11,FINCH PAPER LLC,1 GLEN ST,GLENS FALLS,WARREN,NY,12801,43.308507,-73.634808,0,483
2018,12068KYMRKRTE33,1.10008E+11,KEYMARK CORP,1188 CAYADUTTA ST RT 334,FONDA,MONTGOMERY,NY,12068,42.956111,-74.389056,0,0
2018,14094VNCHL555WE,1.10012E+11,VANCHLOR CO INC,555 W JACKSON ST,LOCKPORT,NIAGARA,NY,14094,43.1837,-78.7013,0,1267
2018,14210PVSCH55LEE,1.1E+11,PVS CHEMICAL SOLUTIONS,55 LEE ST,BUFFALO,ERIE,NY,14210,42.864395,-78.840832,0,7338
2018,1070WLCNND2MARB,1.10057E+11,ELCAN INDUSTRIES INC,20 MARBLEDALE RD,TUCKAHOE,WESTCHESTER,NY,10707,40.94961,-73.82203,0,1
2018,13148GLDSP240FA,1.10012E+11,ITT GOULDS PUMPS INC,240 FALL ST,SENECA FALLS,SENECA,NY,13148,42.915399,-76.810796,107417,11
2018,12801FNCHP1GLEN,1.1E+11,FINCH PAPER LLC,1 GLEN ST,GLENS FALLS,WARREN,NY,12801,43.308507,-73.634808,1868,79910
2018,10710LCTRN21GRA,1.10012E+11,ELECTRONIC DEVICES INC,21 GRAY OAKS AVE,YONKERS,WESTCHESTER,NY,10710,40.974657,-73.86794,6255,250
2018,13827HDCCRBODLE,1.1E+11,HADCO (SANMINA) CORP - OWEGO DIV,1200 TAYLOR RD,OWEGO,TIOGA,NY,13827,42.102778,-76.227111,0,34.36
2018,11706STRLC1714T,1.10017E+11,"ASTRO ELECTROPLATING,INC",171 4TH AVE,BAY SHORE,SUFFOLK,NY,11706,40.72507,-73.25199,0,0
2018,1442WNRTHR5929L,1.10069E+11,NORTHRUP FARMINGTON,5929 LOOMIS RD,FARMINGTON,ONTARIO,NY,14425,42.99421,-77.34981,0,1484.93
2018,14086NTDSL4471W,1.1E+11,UNITED SILICONE INC,4471 WALDEN AVE,LANCASTER,ERIE,NY,14086,42.92777,-78.59773,49.8071,1.8271
2018,1347WJHRHD1WARD,1.10056E+11,JH RHODES CO INC,10 WARD ST,VERNON,ONEIDA,NY,13476,43.08268,-75.5344,5496.5,1.09
2018,14304THGDY5408B,1.10019E+11,GOODYEAR TIRE & RUBBER CO,5500 GOODYEAR DR,NIAGARA FALLS,NIAGARA,NY,14304,43.08571,-79.00174,16316,18879
2018,11768NRTHPWATER,1.10001E+11,NATIONAL GRID  NORTHPORT POWER STATION,WATERSIDE AVE & EATONS NECK RD,NORTHPORT,SUFFOLK,NY,11768,40.923488,-73.342561,0,7.39
2018,1442WNRTHR5251S,1.10002E+11,NORTHRUP BROCKPORT,5251 SWEDEN WALKER RD,BROCKPORT,MONROE,NY,14420,43.17364,-77.90738,0,966.47
2018,12801MSLCT9PRUY,1.10021E+11,UMICORE ELECTRICAL MATERIALS USA INC,9 PRUYN'S ISLAND DR,GLENS FALLS,WARREN,NY,12801,43.29695,-73.64315,5681,0.06
2018,13069RMSTRRR2BO,1.10001E+11,LYDALL PERFORMANCE MATERIALS,2885 STATE RT 481,FULTON,OSWEGO,NY,13069,43.352389,-76.423974,2.6,111.6
2018,14227TTSTN175ST,1.1E+11,XYLEM INC (FLUID HANDLING LLC),175 STANDARD PKWY,CHEEKTOWAGA,ERIE,NY,14227,42.88946,-78.77235,301159.78,1006.32
2018,12603MRCMF55PAG,1.10013E+11,MARCO MANUFACTURING,55 PAGE PARK DR,POUGHKEEPSIE,DUTCHESS,NY,12603,41.68761,-73.87139,145,0
2018,1422WBFFLC8615W,1.10067E+11,NESL - WEHRLE/BARTON FACILITY,8615 WEHRLE DR,BUFFALO,ERIE,NY,14221,42.95668,-78.67435,0,62
2018,10009CNSLD801E1,1.1E+11,CONSOLIDATED EDISON CO OF NEW YORK - EAST RIVER FACILITY,801 E 14 ST,MANHATTAN,NEW YORK,NY,10009,40.7278,-73.9733,0,1.19
2018,13165WRGRC228EA,1.10019E+11,EVANS CHEMETICS LP,228 E MAIN ST,WATERLOO,SENECA,NY,13165,42.901943,-76.854586,5,265
2018,12553WRXTR1096R,1.10007E+11,GLOBAL COS LLC CARGO TERMINAL,1096 RIVER RD,NEW WINDSOR,ORANGE,NY,12553,41.47502,-74.014206,0,0
2018,14227TTSTN175ST,1.1E+11,XYLEM INC (FLUID HANDLING LLC),175 STANDARD PKWY,CHEEKTOWAGA,ERIE,NY,14227,42.88946,-78.77235,43749.36,57.36
